2026-01-22 17:44:57 | INFO | ============================================================
2026-01-22 17:44:57 | INFO | RUN STARTED
2026-01-22 17:44:57 | INFO | Input (descriptions): 1614 entries
2026-01-22 17:44:57 | INFO | Input (urls): 1614 entries
2026-01-22 17:44:57 | INFO | Output file (before run): 119 entries
2026-01-22 17:44:57 | INFO | Skipped (success=false): 1
2026-01-22 17:44:57 | INFO | Skipped (non-English): 125
2026-01-22 17:44:57 | INFO | Skipped (not Gaza-related): 1085
2026-01-22 17:44:57 | INFO | Skipped (already in output): 119
2026-01-22 17:44:57 | INFO | Added to output: 284
2026-01-22 17:44:57 | INFO | Output file (after run): 403 entries
2026-01-22 17:44:57 | INFO | Duration: 0.02 seconds
2026-01-22 17:44:57 | INFO | RUN COMPLETED
2026-01-23 13:34:30 | INFO | ============================================================
2026-01-23 13:34:30 | INFO | RUN STARTED
2026-01-23 13:34:30 | INFO | Input (descriptions): 1623 entries
2026-01-23 13:34:30 | INFO | Input (urls): 1623 entries
2026-01-23 13:34:30 | INFO | Output file (before run): 403 entries
2026-01-23 13:34:30 | INFO | Skipped (success=false): 1
2026-01-23 13:34:30 | INFO | Skipped (non-English): 125
2026-01-23 13:34:30 | INFO | Skipped (not Gaza-related): 1091
2026-01-23 13:34:30 | INFO | Skipped (already in output): 403
2026-01-23 13:34:30 | INFO | Added to output: 3
2026-01-23 13:34:30 | INFO | Output file (after run): 406 entries
2026-01-23 13:34:30 | INFO | Duration: 0.02 seconds
2026-01-23 13:34:30 | INFO | RUN COMPLETED
2026-01-25 23:26:11 | INFO | ============================================================
2026-01-25 23:26:11 | INFO | RUN STARTED - Topic: minneapolis-ice
2026-01-25 23:26:11 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-25 23:26:11 | INFO | Topic: minneapolis-ice
2026-01-25 23:26:11 | INFO | Input (articles): 355 entries
2026-01-25 23:26:11 | INFO | Input (urls): 355 entries
2026-01-25 23:26:11 | INFO | Output file (before run): 0 entries
2026-01-25 23:26:11 | INFO | Skipped (success=false): 0
2026-01-25 23:26:11 | INFO | Skipped (non-English): 7
2026-01-25 23:26:11 | INFO | Skipped (not topic-related): 48
2026-01-25 23:26:11 | INFO | Skipped (already in output): 0
2026-01-25 23:26:11 | INFO | Added to output: 300
2026-01-25 23:26:11 | INFO | Output file (after run): 300 entries
2026-01-25 23:26:11 | INFO | Duration: 0.00 seconds
2026-01-25 23:26:11 | INFO | RUN COMPLETED
2026-01-25 23:54:52 | INFO | ============================================================
2026-01-25 23:54:52 | INFO | RUN STARTED - Topic: greenland-trump
2026-01-25 23:54:52 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-25 23:54:52 | INFO | Topic: greenland-trump
2026-01-25 23:54:52 | INFO | Input (articles): 76 entries
2026-01-25 23:54:52 | INFO | Input (urls): 76 entries
2026-01-25 23:54:52 | INFO | Output file (before run): 0 entries
2026-01-25 23:54:52 | INFO | Skipped (success=false): 0
2026-01-25 23:54:52 | INFO | Skipped (non-English): 0
2026-01-25 23:54:52 | INFO | Skipped (not topic-related): 22
2026-01-25 23:54:52 | INFO | Skipped (already in output): 0
2026-01-25 23:54:52 | INFO | Added to output: 54
2026-01-25 23:54:52 | INFO | Output file (after run): 54 entries
2026-01-25 23:54:52 | INFO | Duration: 0.00 seconds
2026-01-25 23:54:52 | INFO | RUN COMPLETED
2026-01-26 00:57:17 | INFO | ============================================================
2026-01-26 00:57:17 | INFO | RUN STARTED - Topic: minneapolis-ice
2026-01-26 00:57:17 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-26 00:57:17 | INFO | Topic: minneapolis-ice
2026-01-26 00:57:17 | INFO | Input (articles): 355 entries
2026-01-26 00:57:17 | INFO | Input (urls): 355 entries
2026-01-26 00:57:17 | INFO | Output file (before run): 0 entries
2026-01-26 00:57:17 | INFO | Skipped (success=false): 0
2026-01-26 00:57:17 | INFO | Skipped (non-English): 7
2026-01-26 00:57:17 | INFO | Skipped (not topic-related): 48
2026-01-26 00:57:17 | INFO | Skipped (already in output): 0
2026-01-26 00:57:17 | INFO | Added to output: 300
2026-01-26 00:57:17 | INFO | Output file (after run): 300 entries
2026-01-26 00:57:17 | INFO | Duration: 0.00 seconds
2026-01-26 00:57:17 | INFO | RUN COMPLETED
2026-01-26 01:10:23 | INFO | ============================================================
2026-01-26 01:10:23 | INFO | RUN STARTED - Topic: greenland-trump
2026-01-26 01:10:23 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-26 01:10:23 | INFO | Topic: greenland-trump
2026-01-26 01:10:23 | INFO | Input (articles): 76 entries
2026-01-26 01:10:23 | INFO | Input (urls): 76 entries
2026-01-26 01:10:23 | INFO | Output file (before run): 0 entries
2026-01-26 01:10:23 | INFO | Skipped (success=false): 0
2026-01-26 01:10:23 | INFO | Skipped (non-English): 0
2026-01-26 01:10:23 | INFO | Skipped (not topic-related): 22
2026-01-26 01:10:23 | INFO | Skipped (already in output): 0
2026-01-26 01:10:23 | INFO | Added to output: 54
2026-01-26 01:10:23 | INFO | Output file (after run): 54 entries
2026-01-26 01:10:23 | INFO | Duration: 0.00 seconds
2026-01-26 01:10:23 | INFO | RUN COMPLETED
2026-01-26 09:27:34 | INFO | ============================================================
2026-01-26 09:27:34 | INFO | RUN STARTED - Topic: minneapolis-ice
2026-01-26 09:27:34 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-26 09:27:34 | INFO | Topic: minneapolis-ice
2026-01-26 09:27:34 | INFO | Input (articles): 5103 entries
2026-01-26 09:27:34 | INFO | Input (urls): 5103 entries
2026-01-26 09:27:34 | INFO | Output file (before run): 0 entries
2026-01-26 09:27:34 | INFO | Skipped (success=false): 60
2026-01-26 09:27:34 | INFO | Skipped (non-English): 74
2026-01-26 09:27:34 | INFO | Skipped (not topic-related): 1899
2026-01-26 09:27:34 | INFO | Skipped (already in output): 0
2026-01-26 09:27:34 | INFO | Added to output: 3070
2026-01-26 09:27:34 | INFO | Output file (after run): 3070 entries
2026-01-26 09:27:34 | INFO | Duration: 0.05 seconds
2026-01-26 09:27:34 | INFO | RUN COMPLETED
2026-01-26 15:53:12 | INFO | ============================================================
2026-01-26 15:53:12 | INFO | RUN STARTED - Topic: greenland-trump
2026-01-26 15:53:12 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-26 15:53:12 | INFO | Topic: greenland-trump
2026-01-26 15:53:12 | INFO | Input (articles): 2046 entries
2026-01-26 15:53:12 | INFO | Input (urls): 2046 entries
2026-01-26 15:53:12 | INFO | Output file (before run): 0 entries
2026-01-26 15:53:12 | INFO | Skipped (success=false): 32
2026-01-26 15:53:12 | INFO | Skipped (non-English): 1
2026-01-26 15:53:12 | INFO | Skipped (not topic-related): 566
2026-01-26 15:53:12 | INFO | Skipped (already in output): 0
2026-01-26 15:53:12 | INFO | Added to output: 1447
2026-01-26 15:53:12 | INFO | Output file (after run): 1447 entries
2026-01-26 15:53:12 | INFO | Duration: 0.02 seconds
2026-01-26 15:53:12 | INFO | RUN COMPLETED
2026-01-26 20:03:22 | INFO | ============================================================
2026-01-26 20:03:22 | INFO | RUN STARTED - Topic: greenland-trump
2026-01-26 20:03:22 | INFO | REGENERATE MODE: rebuilding clean file from scratch
2026-01-26 20:03:22 | INFO | Topic: greenland-trump
2026-01-26 20:03:22 | INFO | Input (articles): 2046 entries
2026-01-26 20:03:22 | INFO | Input (urls): 2046 entries
2026-01-26 20:03:22 | INFO | Output file (before run): 0 entries
2026-01-26 20:03:22 | INFO | Skipped (success=false): 32
2026-01-26 20:03:22 | INFO | Skipped (non-English): 1
2026-01-26 20:03:22 | INFO | Skipped (not topic-related): 566
2026-01-26 20:03:22 | INFO | Skipped (not relevant - off-topic): 671
2026-01-26 20:03:22 | INFO | Skipped (already in output): 0
2026-01-26 20:03:22 | INFO | Added to output: 776
2026-01-26 20:03:22 | INFO | Output file (after run): 776 entries
2026-01-26 20:03:22 | INFO | Duration: 0.03 seconds
2026-01-26 20:03:22 | INFO | RUN COMPLETED
2026-01-26 20:03:36 | INFO | ============================================================
2026-01-26 20:03:36 | INFO | RUN STARTED - Topic: minneapolis-ice
